#i E KE PE T P
4.110877 -4.322022 1.659698 -5.981721 120.000000 0.041580
4.128750 -4.308368 1.659698 -5.968066 120.000000 0.041571
4.146624 -4.313370 1.659698 -5.973068 120.000000 0.041553
4.164497 -4.354791 1.659698 -6.014489 120.000000 0.041507
4.182370 -4.414626 1.659698 -6.074324 120.000000 0.041422
4.200244 -4.469064 1.659698 -6.128762 120.000000 0.041305
4.218117 -4.502196 1.659698 -6.161895 120.000000 0.041168
4.235990 -4.509375 1.659698 -6.169073 120.000000 0.041029
4.253864 -4.498506 1.659698 -6.158204 120.000000 0.040899
4.271737 -4.482651 1.659698 -6.142349 120.000000 0.040783
4.289611 -4.472020 1.659698 -6.131719 120.000000 0.040678
4.307484 -4.470472 1.659698 -6.130170 120.000000 0.040579
4.325357 -4.475026 1.659698 -6.134724 120.000000 0.040483
4.343231 -4.477657 1.659698 -6.137355 120.000000 0.040391
4.361104 -4.469742 1.659698 -6.129440 120.000000 0.040308
4.378978 -4.447659 1.659698 -6.107358 120.000000 0.040244
4.396851 -4.416222 1.659698 -6.075920 120.000000 0.040203
4.414724 -4.385528 1.659698 -6.045226 120.000000 0.040184
4.432598 -4.361730 1.659698 -6.021429 120.000000 0.040183
4.450471 -4.339207 1.659698 -5.998906 120.000000 0.040199
4.468344 -4.302911 1.659698 -5.962610 120.000000 0.040239
4.486218 -4.241949 1.659698 -5.901647 120.000000 0.040315
4.504091 -4.164693 1.659698 -5.824391 120.000000 0.040435
4.521965 -4.101015 1.659698 -5.760713 120.000000 0.040587
4.539838 -4.082205 1.659698 -5.741903 120.000000 0.040748
4.557711 -4.112963 1.659698 -5.772661 120.000000 0.040888
4.575585 -4.169724 1.659698 -5.829423 120.000000 0.040994
4.593458 -4.222576 1.659698 -5.882274 120.000000 0.041067
4.611331 -4.251955 1.659698 -5.911653 120.000000 0.041121
4.629205 -4.255608 1.659698 -5.915307 120.000000 0.041170
4.647078 -4.248165 1.659698 -5.907864 120.000000 0.041221
4.664952 -4.249310 1.659698 -5.909009 120.000000 0.041268
4.682825 -4.267525 1.659698 -5.927224 120.000000 0.041305
4.700698 -4.297756 1.659698 -5.957454 120.000000 0.041324
4.718572 -4.331113 1.659698 -5.990812 120.000000 0.041325
4.736445 -4.359095 1.659698 -6.018793 120.000000 0.041311
4.754318 -4.375039 1.659698 -6.034738 120.000000 0.041288
4.772192 -4.377644 1.659698 -6.037342 120.000000 0.041265
4.790065 -4.368474 1.659698 -6.028172 120.000000 0.041247
4.807939 -4.346919 1.659698 -6.006617 120.000000 0.041243
4.825812 -4.313876 1.659698 -5.973574 120.000000 0.041257
4.843685 -4.278258 1.659698 -5.937956 120.000000 0.041290
4.861559 -4.253559 1.659698 -5.913258 120.000000 0.041338
4.879432 -4.246591 1.659698 -5.906289 120.000000 0.041392
4.897305 -4.251849 1.659698 -5.911547 120.000000 0.041444
4.915179 -4.257169 1.659698 -5.916868 120.000000 0.041495
4.933052 -4.252803 1.659698 -5.912502 120.000000 0.041549
4.950926 -4.238155 1.659698 -5.897853 120.000000 0.041611
4.968799 -4.223486 1.659698 -5.883184 120.000000 0.041681
4.986672 -4.220024 1.659698 -5.879722 120.000000 0.041754
5.004546 -4.224878 1.659698 -5.884577 120.000000 0.041826
5.022419 -4.222014 1.659698 -5.881712 120.000000 0.041901
5.040292 -4.201345 1.659698 -5.861044 120.000000 0.041987
5.058166 -4.173550 1.659698 -5.833249 120.000000 0.042086
5.076039 -4.164861 1.659698 -5.824559 120.000000 0.042189
5.093913 -4.192350 1.659698 -5.852049 120.000000 0.042277
5.111786 -4.240362 1.659698 -5.900060 120.000000 0.042342
5.129659 -4.274882 1.659698 -5.934580 120.000000 0.042389
5.147533 -4.278269 1.659698 -5.937967 120.000000 0.042433
5.165406 -4.258928 1.659698 -5.918627 120.000000 0.042486
5.183280 -4.238372 1.659698 -5.898070 120.000000 0.042548
5.201153 -4.227075 1.659698 -5.886773 120.000000 0.042617
5.219026 -4.220773 1.659698 -5.880471 120.000000 0.042689
5.236900 -4.218379 1.659698 -5.878077 120.000000 0.042763
5.254773 -4.222130 1.659698 -5.881828 120.000000 0.042838
5.272646 -4.227403 1.659698 -5.887101 120.000000 0.042912
5.290520 -4.223815 1.659698 -5.883514 120.000000 0.042991
5.308393 -4.204235 1.659698 -5.863934 120.000000 0.043082
5.326267 -4.173242 1.659698 -5.832940 120.000000 0.043190
5.344140 -4.143419 1.659698 -5.803117 120.000000 0.043316
5.362013 -4.119209 1.659698 -5.778907 120.000000 0.043456
5.379887 -4.097826 1.659698 -5.757524 120.000000 0.043609
5.397760 -4.081305 1.659698 -5.741004 120.000000 0.043770
5.415633 -4.077514 1.659698 -5.737212 120.000000 0.043933
5.433507 -4.087755 1.659698 -5.747454 120.000000 0.044091
5.451380 -4.101543 1.659698 -5.761241 120.000000 0.044241
5.469254 -4.108903 1.659698 -5.768601 120.000000 0.044385
5.487127 -4.110635 1.659698 -5.770334 120.000000 0.044527
5.505000 -4.114959 1.659698 -5.774657 120.000000 0.044664
5.522874 -4.128402 1.659698 -5.788100 120.000000 0.044793
5.540747 -4.151898 1.659698 -5.811597 120.000000 0.044910
5.558620 -4.181548 1.659698 -5.841247 120.000000 0.045011
5.576494 -4.208685 1.659698 -5.868384 120.000000 0.045100
5.594367 -4.221728 1.659698 -5.881427 120.000000 0.045182
5.612241 -4.213139 1.659698 -5.872838 120.000000 0.045269
5.630114 -4.186551 1.659698 -5.846249 120.000000 0.045367
5.647987 -4.156900 1.659698 -5.816598 120.000000 0.045479
5.665861 -4.142738 1.659698 -5.802437 120.000000 0.045596
5.683734 -4.156165 1.659698 -5.815864 120.000000 0.045705
5.701607 -4.196984 1.659698 -5.856683 120.000000 0.045794
5.719481 -4.252481 1.659698 -5.912179 120.000000 0.045855
5.737354 -4.303580 1.659698 -5.963279 120.000000 0.045891
5.755228 -4.336235 1.659698 -5.995933 120.000000 0.045909
5.773101 -4.348667 1.659698 -6.008365 120.000000 0.045917
5.790974 -4.349631 1.659698 -6.009329 120.000000 0.045922
5.808848 -4.350298 1.659698 -6.009996 120.000000 0.045923
5.826721 -4.355854 1.659698 -6.015552 120.000000 0.045920
5.844594 -4.362538 1.659698 -6.022237 120.000000 0.045910
5.862468 -4.362165 1.659698 -6.021864 120.000000 0.045897
5.880341 -4.352107 1.659698 -6.011805 120.000000 0.045886
5.898215 -4.341805 1.659698 -6.001504 120.000000 0.045875
5.916088 -4.346033 1.659698 -6.005731 120.000000 0.045858
5.933961 -4.368779 1.659698 -6.028478 120.000000 0.045827
5.951835 -4.396718 1.659698 -6.056416 120.000000 0.045780
5.969708 -4.412004 1.659698 -6.071702 120.000000 0.045723
5.987581 -4.407688 1.659698 -6.067386 120.000000 0.045665
6.005455 -4.391953 1.659698 -6.051651 120.000000 0.045611
6.023328 -4.379303 1.659698 -6.039001 120.000000 0.045561
6.041202 -4.374138 1.659698 -6.033836 120.000000 0.045513
6.059075 -4.369957 1.659698 -6.029655 120.000000 0.045467
6.076948 -4.361293 1.659698 -6.020991 120.000000 0.045426
6.094822 -4.347230 1.659698 -6.006928 120.000000 0.045392
6.112695 -4.330664 1.659698 -5.990362 120.000000 0.045365
6.130569 -4.318121 1.659698 -5.977819 120.000000 0.045346
6.148442 -4.315822 1.659698 -5.975521 120.000000 0.045328
6.166315 -4.322770 1.659698 -5.982469 120.000000 0.045310
6.184189 -4.330199 1.659698 -5.989897 120.000000 0.045292
6.202062 -4.329235 1.659698 -5.988934 120.000000 0.045275
6.219935 -4.316141 1.659698 -5.975839 120.000000 0.045267
6.237809 -4.291547 1.659698 -5.951245 120.000000 0.045272
6.255682 -4.257943 1.659698 -5.917641 120.000000 0.045293
6.273556 -4.217062 1.659698 -5.876760 120.000000 0.045334
6.291429 -4.170357 1.659698 -5.830056 120.000000 0.045398
6.309302 -4.123599 1.659698 -5.783297 120.000000 0.045483
6.327176 -4.088499 1.659698 -5.748197 120.000000 0.045585
6.345049 -4.073909 1.659698 -5.733608 120.000000 0.045695
6.362922 -4.076580 1.659698 -5.736278 120.000000 0.045805
6.380796 -4.085404 1.659698 -5.745103 120.000000 0.045912
6.398669 -4.091094 1.659698 -5.750793 120.000000 0.046017
6.416543 -4.092626 1.659698 -5.752325 120.000000 0.046121
6.434416 -4.099047 1.659698 -5.758746 120.000000 0.046220
6.452289 -4.122183 1.659698 -5.781881 120.000000 0.046307
6.470163 -4.163773 1.659698 -5.823471 120.000000 0.046375
6.488036 -4.212523 1.659698 -5.872221 120.000000 0.046420
6.505909 -4.254830 1.659698 -5.914529 120.000000 0.046444
6.523783 -4.285032 1.659698 -5.944731 120.000000 0.046452
6.541656 -4.305754 1.659698 -5.965453 120.000000 0.046448
6.559530 -4.320773 1.659698 -5.980472 120.000000 0.046435
6.577403 -4.327730 1.659698 -5.987428 120.000000 0.046416
6.595276 -4.321889 1.659698 -5.981587 120.000000 0.046398
6.613150 -4.308607 1.659698 -5.968306 120.000000 0.046384
6.631023 -4.297185 1.659698 -5.956883 120.000000 0.046375
6.648896 -4.282181 1.659698 -5.941879 120.000000 0.046373
6.666770 -4.260328 1.659698 -5.920027 120.000000 0.046381
6.684643 -4.243790 1.659698 -5.903488 120.000000 0.046398
6.702517 -4.243269 1.659698 -5.902967 120.000000 0.046416
6.720390 -4.256052 1.659698 -5.915751 120.000000 0.046432
6.738263 -4.272477 1.659698 -5.932175 120.000000 0.046443
6.756137 -4.283687 1.659698 -5.943385 120.000000 0.046451
6.774010 -4.283789 1.659698 -5.943488 120.000000 0.046459
6.791883 -4.272547 1.659698 -5.932246 120.000000 0.046471
6.809757 -4.256595 1.659698 -5.916294 120.000000 0.046488
