#i E KE PE T dT P Cv R2
2.895487 -0.038709 0.015864 -0.054573 122.988564 0.001566 0.061759 217.047235 0.139331
2.913361 -0.038703 0.015827 -0.054530 122.992234 0.001556 0.061767 216.600911 0.140423
2.931234 -0.038702 0.015866 -0.054568 122.997704 0.001547 0.061768 216.168093 0.141510
2.949107 -0.038704 0.015990 -0.054694 123.008944 0.001539 0.061754 215.784599 0.142589
2.966981 -0.038707 0.016162 -0.054868 123.028059 0.001533 0.061721 215.520404 0.143660
2.984854 -0.038710 0.016326 -0.055036 123.054565 0.001531 0.061672 215.426032 0.144718
3.002727 -0.038713 0.016421 -0.055134 123.085187 0.001531 0.061610 215.453079 0.145756
3.020601 -0.038713 0.016406 -0.055119 123.114742 0.001531 0.061547 215.453082 0.146767
3.038474 -0.038709 0.016284 -0.054993 123.138359 0.001528 0.061492 215.300633 0.147747
3.056348 -0.038705 0.016108 -0.054814 123.153746 0.001522 0.061448 214.995362 0.148693
3.074221 -0.038704 0.015945 -0.054650 123.161596 0.001513 0.061416 214.612883 0.149608
3.092094 -0.038708 0.015815 -0.054523 123.163522 0.001505 0.061391 214.212836 0.150498
3.109968 -0.038710 0.015689 -0.054400 123.159804 0.001496 0.061374 213.830418 0.151371
3.127841 -0.038707 0.015551 -0.054258 123.149971 0.001489 0.061365 213.504088 0.152233
3.145714 -0.038700 0.015454 -0.054154 123.135988 0.001483 0.061360 213.239708 0.153090
3.163588 -0.038694 0.015507 -0.054201 123.124481 0.001477 0.061346 212.944040 0.153947
3.181461 -0.038694 0.015784 -0.054478 123.125179 0.001469 0.061307 212.570099 0.154810
3.199335 -0.038701 0.016263 -0.054964 123.146655 0.001465 0.061227 212.424542 0.155684
3.217208 -0.038711 0.016824 -0.055535 123.192103 0.001481 0.061102 213.118441 0.156573
3.235081 -0.038721 0.017293 -0.056014 123.257177 0.001521 0.060939 214.986056 0.157479
3.252955 -0.038725 0.017521 -0.056245 123.331245 0.001577 0.060760 217.582727 0.158403
3.270828 -0.038723 0.017441 -0.056164 123.401125 0.001625 0.060589 219.895472 0.159346
3.288701 -0.038719 0.017080 -0.055799 123.455036 0.001650 0.060448 221.105679 0.160307
3.306575 -0.038711 0.016537 -0.055248 123.485537 0.001652 0.060353 221.184169 0.161288
3.324448 -0.038700 0.015964 -0.054664 123.491803 0.001643 0.060307 220.768104 0.162290
3.342322 -0.038695 0.015550 -0.054245 123.480790 0.001636 0.060297 220.429329 0.163314
3.360195 -0.038706 0.015366 -0.054072 123.462307 0.001632 0.060306 220.237262 0.164358
3.378068 -0.038713 0.015298 -0.054011 123.441230 0.001630 0.060325 220.114798 0.165419
3.395942 -0.038709 0.015246 -0.053955 123.418237 0.001628 0.060353 220.050175 0.166490
3.413815 -0.038704 0.015228 -0.053932 123.394774 0.001627 0.060385 220.003723 0.167569
3.431688 -0.038702 0.015303 -0.054005 123.374586 0.001625 0.060413 219.870131 0.168649
3.449562 -0.038706 0.015481 -0.054187 123.361756 0.001619 0.060429 219.582827 0.169730
3.467435 -0.038712 0.015690 -0.054402 123.357426 0.001611 0.060429 219.200207 0.170808
3.485309 -0.038713 0.015840 -0.054553 123.359104 0.001603 0.060419 218.805675 0.171882
3.503182 -0.038708 0.015908 -0.054617 123.363482 0.001595 0.060403 218.423280 0.172952
3.521055 -0.038704 0.015949 -0.054653 123.369435 0.001587 0.060384 218.054270 0.174015
3.538929 -0.038703 0.016023 -0.054726 123.378209 0.001580 0.060361 217.712591 0.175072
3.556802 -0.038706 0.016141 -0.054847 123.391518 0.001574 0.060332 217.432249 0.176120
3.574676 -0.038711 0.016268 -0.054979 123.409637 0.001570 0.060296 217.244350 0.177160
3.592549 -0.038713 0.016343 -0.055057 123.430480 0.001567 0.060258 217.123292 0.178191
3.610422 -0.038711 0.016331 -0.055043 123.450649 0.001564 0.060223 216.989577 0.179215
3.628296 -0.038707 0.016257 -0.054963 123.467762 0.001560 0.060196 216.792005 0.180233
3.646169 -0.038705 0.016178 -0.054883 123.481704 0.001555 0.060177 216.540371 0.181247
3.664042 -0.038711 0.016113 -0.054824 123.493055 0.001549 0.060166 216.254734 0.182255
3.681916 -0.038722 0.015987 -0.054709 123.499540 0.001542 0.060166 215.924356 0.183254
3.699789 -0.038720 0.015705 -0.054425 123.495397 0.001535 0.060188 215.594978 0.184242
3.717663 -0.038692 0.015393 -0.054085 123.479616 0.001531 0.060234 215.429886 0.185219
3.735536 -0.038703 0.015351 -0.054054 123.462425 0.001528 0.060285 215.299361 0.186188
3.753409 -0.038733 0.015460 -0.054193 123.449443 0.001524 0.060332 215.086353 0.187156
3.771283 -0.038727 0.015364 -0.054091 123.433039 0.001520 0.060388 214.945015 0.188131
3.789156 -0.038708 0.015068 -0.053777 123.405950 0.001524 0.060466 215.118034 0.189121
3.807029 -0.038695 0.014820 -0.053515 123.370068 0.001536 0.060562 215.664430 0.190133
3.824903 -0.038696 0.014818 -0.053514 123.334443 0.001548 0.060658 216.205064 0.191171
3.842776 -0.038709 0.015052 -0.053761 123.307611 0.001551 0.060739 216.377496 0.192236
3.860650 -0.038718 0.015346 -0.054064 123.291584 0.001548 0.060801 216.232573 0.193328
3.878523 -0.038720 0.015538 -0.054258 123.282595 0.001542 0.060852 215.965305 0.194445
3.896396 -0.038720 0.015564 -0.054284 123.274599 0.001537 0.060901 215.689219 0.195582
3.914270 -0.038714 0.015426 -0.054140 123.261779 0.001532 0.060958 215.489489 0.196737
3.932143 -0.038701 0.015221 -0.053922 123.241841 0.001532 0.061028 215.457862 0.197906
3.950016 -0.038694 0.015122 -0.053816 123.218588 0.001533 0.061103 215.529691 0.199087
3.967890 -0.038698 0.015224 -0.053922 123.199130 0.001532 0.061172 215.489987 0.200278
3.985763 -0.038702 0.015488 -0.054190 123.189061 0.001527 0.061223 215.253357 0.201476
4.003637 -0.038703 0.015843 -0.054546 123.191388 0.001520 0.061251 214.940368 0.202679
4.021510 -0.038704 0.016247 -0.054951 123.207648 0.001517 0.061253 214.792274 0.203884
4.039383 -0.038710 0.016653 -0.055363 123.237739 0.001523 0.061228 215.071884 0.205089
4.057257 -0.038719 0.016965 -0.055683 123.278235 0.001540 0.061182 215.852608 0.206292
4.075130 -0.038724 0.017062 -0.055786 123.321701 0.001561 0.061127 216.812849 0.207492
4.093003 -0.038720 0.016888 -0.055608 123.358862 0.001574 0.061079 217.428510 0.208688
4.110877 -0.038707 0.016516 -0.055223 123.383139 0.001575 0.061050 217.498300 0.209875
4.128750 -0.038693 0.016150 -0.054843 123.394897 0.001570 0.061037 217.262468 0.211050
4.146624 -0.038691 0.015993 -0.054684 123.401295 0.001564 0.061029 216.966578 0.212207
4.164497 -0.038703 0.016070 -0.054774 123.410213 0.001558 0.061010 216.698982 0.213346
4.182370 -0.038715 0.016217 -0.054933 123.423942 0.001554 0.060978 216.507546 0.214470
4.200244 -0.038721 0.016246 -0.054968 123.438507 0.001550 0.060940 216.335272 0.215586
4.218117 -0.038718 0.016067 -0.054785 123.447054 0.001545 0.060908 216.072368 0.216699
4.235990 -0.038703 0.015751 -0.054454 123.445145 0.001538 0.060890 215.774615 0.217811
4.253864 -0.038690 0.015518 -0.054208 123.435630 0.001534 0.060884 215.552000 0.218926
4.271737 -0.038694 0.015538 -0.054233 123.426872 0.001529 0.060874 215.321337 0.220042
4.289611 -0.038705 0.015769 -0.054474 123.425648 0.001522 0.060850 215.030151 0.221158
4.307484 -0.038709 0.016055 -0.054764 123.433668 0.001517 0.060811 214.777519 0.222276
4.325357 -0.038710 0.016298 -0.055007 123.449430 0.001514 0.060758 214.653814 0.223393
4.343231 -0.038711 0.016462 -0.055174 123.470330 0.001514 0.060696 214.665195 0.224508
4.361104 -0.038713 0.016518 -0.055230 123.492827 0.001516 0.060632 214.728172 0.225620
4.378978 -0.038708 0.016451 -0.055160 123.513033 0.001516 0.060573 214.723641 0.226726
4.396851 -0.038699 0.016327 -0.055026 123.529134 0.001513 0.060521 214.615302 0.227823
4.414724 -0.038692 0.016273 -0.054964 123.543403 0.001510 0.060473 214.470076 0.228910
4.432598 -0.038693 0.016386 -0.055079 123.561114 0.001509 0.060420 214.405663 0.229982
4.450471 -0.038700 0.016647 -0.055347 123.586837 0.001513 0.060353 214.595509 0.231038
4.468344 -0.038706 0.016948 -0.055654 123.621702 0.001526 0.060270 215.196209 0.232076
4.486218 -0.038708 0.017181 -0.055890 123.663535 0.001548 0.060176 216.203011 0.233094
4.504091 -0.038708 0.017293 -0.056002 123.708490 0.001574 0.060077 217.427134 0.234092
4.521965 -0.038707 0.017273 -0.055980 123.752453 0.001598 0.059981 218.597375 0.235069
4.539838 -0.038705 0.017135 -0.055841 123.791869 0.001617 0.059895 219.483487 0.236024
4.557711 -0.038702 0.016919 -0.055621 123.824367 0.001627 0.059822 219.985888 0.236958
4.575585 -0.038700 0.016676 -0.055376 123.849249 0.001630 0.059766 220.148123 0.237870
4.593458 -0.038700 0.016455 -0.055155 123.867237 0.001629 0.059725 220.081703 0.238761
4.611331 -0.038704 0.016261 -0.054965 123.879246 0.001625 0.059698 219.879421 0.239633
4.629205 -0.038709 0.016053 -0.054762 123.884913 0.001619 0.059685 219.596683 0.240491
4.647078 -0.038709 0.015787 -0.054496 123.882573 0.001613 0.059690 219.305347 0.241340
4.664952 -0.038702 0.015492 -0.054194 123.871450 0.001609 0.059713 219.124497 0.242186
4.682825 -0.038698 0.015276 -0.053975 123.854024 0.001609 0.059750 219.101400 0.243033
4.700698 -0.038706 0.015204 -0.053910 123.834588 0.001610 0.059793 219.144057 0.243883
4.718572 -0.038709 0.015210 -0.053919 123.815476 0.001610 0.059836 219.178216 0.244738
4.736445 -0.038700 0.015260 -0.053960 123.797981 0.001610 0.059876 219.163390 0.245601
4.754318 -0.038692 0.015451 -0.054144 123.786202 0.001607 0.059906 219.004227 0.246470
4.772192 -0.038697 0.015855 -0.054552 123.786274 0.001601 0.059915 218.716972 0.247346
4.790065 -0.038708 0.016393 -0.055101 123.801966 0.001599 0.059896 218.619003 0.248231
4.807939 -0.038721 0.016882 -0.055602 123.831676 0.001607 0.059853 219.040349 0.249124
4.825812 -0.038726 0.017138 -0.055864 123.868558 0.001625 0.059798 219.861528 0.250026
4.843685 -0.038719 0.017092 -0.055811 123.903853 0.001640 0.059747 220.593672 0.250940
4.861559 -0.038707 0.016838 -0.055545 123.931598 0.001647 0.059711 220.929725 0.251865
4.879432 -0.038704 0.016529 -0.055233 123.950357 0.001646 0.059692 220.917398 0.252802
4.897305 -0.038706 0.016236 -0.054943 123.960659 0.001642 0.059688 220.704486 0.253754
4.915179 -0.038706 0.015949 -0.054655 123.962768 0.001636 0.059700 220.416256 0.254721
4.933052 -0.038700 0.015687 -0.054387 123.957477 0.001631 0.059724 220.160809 0.255704
4.950926 -0.038692 0.015538 -0.054230 123.948023 0.001627 0.059755 219.966779 0.256707
4.968799 -0.038692 0.015598 -0.054290 123.940315 0.001622 0.059779 219.746676 0.257731
4.986672 -0.038704 0.015852 -0.054556 123.939760 0.001616 0.059789 219.468246 0.258777
5.004546 -0.038716 0.016137 -0.054853 123.947122 0.001611 0.059781 219.229809 0.259845
5.022419 -0.038717 0.016275 -0.054992 123.958256 0.001608 0.059763 219.050423 0.260935
5.040292 -0.038710 0.016220 -0.054930 123.967789 0.001603 0.059745 218.846222 0.262043
5.058166 -0.038703 0.016051 -0.054754 123.972616 0.001598 0.059732 218.590705 0.263164
5.076039 -0.038699 0.015878 -0.054576 123.972651 0.001592 0.059725 218.323063 0.264295
5.093913 -0.038696 0.015775 -0.054471 123.969884 0.001587 0.059723 218.068104 0.265432
5.111786 -0.038693 0.015800 -0.054493 123.967828 0.001582 0.059718 217.811669 0.266571
5.129659 -0.038695 0.015991 -0.054686 123.970941 0.001576 0.059703 217.556245 0.267708
5.147533 -0.038705 0.016305 -0.055010 123.982539 0.001573 0.059674 217.403550 0.268840
5.165406 -0.038715 0.016617 -0.055332 124.002452 0.001575 0.059631 217.475640 0.269964
5.183280 -0.038721 0.016783 -0.055504 124.026687 0.001580 0.059582 217.714670 0.271079
5.201153 -0.038723 0.016712 -0.055435 124.048856 0.001583 0.059539 217.872243 0.272181
5.219026 -0.038723 0.016372 -0.055095 124.061811 0.001580 0.059515 217.751359 0.273272
5.236900 -0.038716 0.015796 -0.054512 124.059367 0.001575 0.059522 217.505083 0.274350
5.254773 -0.038698 0.015135 -0.053833 124.039448 0.001578 0.059562 217.635089 0.275419
5.272646 -0.038682 0.014665 -0.053347 124.007269 0.001593 0.059627 218.364547 0.276480
