#t E KE PE
9.115423 -5.600656 0.857885 -6.458541
9.133296 -5.600399 0.832919 -6.433318
9.151169 -5.600249 0.816128 -6.416378
9.169043 -5.600318 0.809919 -6.410237
9.186916 -5.600611 0.813406 -6.414018
9.204789 -5.600965 0.822674 -6.423638
9.222663 -5.601236 0.832672 -6.433908
9.240536 -5.601333 0.839436 -6.440768
9.258410 -5.601222 0.841575 -6.442797
9.276283 -5.600955 0.840773 -6.441728
9.294156 -5.600711 0.840870 -6.441581
9.312030 -5.600717 0.845133 -6.445850
9.329903 -5.600964 0.853454 -6.454418
9.347776 -5.601200 0.862499 -6.463698
9.365650 -5.601233 0.868903 -6.470136
9.383523 -5.601088 0.871876 -6.472964
9.401397 -5.600939 0.872860 -6.473799
9.419270 -5.600886 0.873561 -6.474447
9.437143 -5.600901 0.874589 -6.475490
9.455017 -5.600927 0.875548 -6.476475
9.472890 -5.600920 0.875851 -6.476771
9.490764 -5.600898 0.875316 -6.476214
9.508637 -5.600887 0.874112 -6.474999
9.526510 -5.600923 0.872333 -6.473255
9.544384 -5.600963 0.869800 -6.470762
9.562257 -5.600945 0.866495 -6.467439
9.580130 -5.600791 0.863488 -6.464279
9.598004 -5.600495 0.863763 -6.464258
9.615877 -5.600283 0.871533 -6.471815
9.633751 -5.600398 0.889359 -6.489756
9.651624 -5.600793 0.915239 -6.516031
9.669497 -5.601233 0.942990 -6.544224
9.687371 -5.601537 0.965441 -6.566979
9.705244 -5.601700 0.977108 -6.578808
9.723117 -5.601726 0.975077 -6.576803
9.740991 -5.601606 0.959004 -6.560610
9.758864 -5.601326 0.931135 -6.532461
9.776738 -5.600895 0.896352 -6.497247
9.794611 -5.600417 0.861678 -6.462095
9.812484 -5.600072 0.834640 -6.434712
9.830358 -5.600035 0.820493 -6.420529
9.848231 -5.600259 0.820101 -6.420360
9.866104 -5.600558 0.830383 -6.430942
9.883978 -5.600786 0.846800 -6.447586
9.901851 -5.600940 0.865487 -6.466427
9.919725 -5.601087 0.883517 -6.484604
9.937598 -5.601254 0.898052 -6.499306
9.955471 -5.601392 0.906167 -6.507560
9.973345 -5.601443 0.905595 -6.507038
9.991218 -5.601385 0.895479 -6.496863
10.009091 -5.601247 0.876727 -6.477975
10.026965 -5.601010 0.851997 -6.453007
10.044838 -5.600680 0.825574 -6.426254
10.062712 -5.600289 0.803248 -6.403536
10.080585 -5.600012 0.791321 -6.391333
10.098458 -5.600049 0.793869 -6.393917
10.116332 -5.600328 0.810366 -6.410694
10.134205 -5.600664 0.836436 -6.437099
10.152078 -5.600948 0.866438 -6.467386
10.169952 -5.601114 0.895413 -6.496527
10.187825 -5.601184 0.919939 -6.521123
10.205699 -5.601185 0.938213 -6.539398
10.223572 -5.601116 0.949830 -6.550946
10.241445 -5.600971 0.955609 -6.556580
10.259319 -5.600788 0.957509 -6.558297
10.277192 -5.600670 0.958022 -6.558691
10.295065 -5.600700 0.958655 -6.559355
10.312939 -5.600832 0.958922 -6.559753
10.330812 -5.600948 0.956950 -6.557897
10.348686 -5.600986 0.951039 -6.552025
10.366559 -5.600942 0.940670 -6.541612
10.384432 -5.600820 0.926699 -6.527519
10.402306 -5.600680 0.911051 -6.511731
10.420179 -5.600559 0.896069 -6.496628
10.438053 -5.600474 0.883873 -6.484347
10.455926 -5.600427 0.875979 -6.476405
10.473799 -5.600438 0.873158 -6.473596
10.491673 -5.600553 0.875112 -6.475665
10.509546 -5.600773 0.879971 -6.480744
10.527419 -5.601014 0.884455 -6.485469
10.545293 -5.601192 0.885054 -6.486247
10.563166 -5.601253 0.879346 -6.480598
10.581040 -5.601173 0.866829 -6.468002
10.598913 -5.600976 0.849291 -6.450268
10.616786 -5.600776 0.830295 -6.431071
10.634660 -5.600688 0.813493 -6.414182
10.652533 -5.600688 0.801081 -6.401769
10.670406 -5.600784 0.793549 -6.394332
10.688280 -5.600971 0.789674 -6.390645
10.706153 -5.601043 0.787220 -6.388263
10.724027 -5.600845 0.785525 -6.386370
10.741900 -5.600578 0.787019 -6.387596
10.759773 -5.600530 0.794798 -6.395329
10.777647 -5.600722 0.809033 -6.409755
10.795520 -5.600967 0.826583 -6.427549
10.813393 -5.601132 0.843286 -6.444418
10.831267 -5.601205 0.855824 -6.457029
10.849140 -5.601175 0.862416 -6.463591
10.867014 -5.601061 0.862960 -6.464022
10.884887 -5.600881 0.858913 -6.459794
10.902760 -5.600686 0.852864 -6.453550
10.920634 -5.600535 0.847732 -6.448268
10.938507 -5.600442 0.845989 -6.446432
10.956380 -5.600378 0.849412 -6.449791
10.974254 -5.600411 0.858999 -6.459410
10.992127 -5.600648 0.873984 -6.474632
11.010001 -5.601005 0.890760 -6.491765
11.027874 -5.601273 0.904055 -6.505327
11.045747 -5.601361 0.909685 -6.511046
11.063621 -5.601337 0.905916 -6.507254
11.081494 -5.601255 0.893073 -6.494328
11.099367 -5.601091 0.872974 -6.474065
11.117241 -5.600832 0.848873 -6.449706
11.135114 -5.600518 0.825472 -6.425990
11.152988 -5.600289 0.808067 -6.408356
11.170861 -5.600299 0.800492 -6.400792
11.188734 -5.600513 0.803220 -6.403734
11.206608 -5.600779 0.813504 -6.414284
11.224481 -5.600992 0.827336 -6.428327
11.242355 -5.601123 0.841194 -6.442317
11.260228 -5.601195 0.852585 -6.453781
11.278101 -5.601228 0.859893 -6.461121
11.295975 -5.601236 0.862176 -6.463412
11.313848 -5.601222 0.859056 -6.460278
11.331721 -5.601169 0.850765 -6.451934
